Priority Score,Department,Sub-Department,Category,Service Level,Resolution Time (mins)
9,Credit,Trade Finance,Reward Points Inquiry,3,86
9,General Banking,Foreign Investments & NRI Banking,Loan Against Property,1,27
4,Forex,Microfinance & Agricultural Loans,Fixed Deposit,1,45
10,General Banking,Retail Loans,Net Banking Login Issue,2,20
3,Credit,Microfinance & Agricultural Loans,SWIFT Transfer,1,3
8,Forex,Banking Tech & Digital Services,Working Capital Loan,1,86
8,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,1,3
8,General Banking,Foreign Investments & NRI Banking,Education Loan,2,3
6,General Banking,Microfinance & Agricultural Loans,Letter of Credit,1,28
6,Forex,Microfinance & Agricultural Loans,Education Loan,1,5
6,General Banking,Currency Exchange,Loan Against Property,2,86
10,Credit,Credit Cards,Mobile Banking Issue,1,17
9,General Banking,Microfinance & Agricultural Loans,Debit Card Activation,1,20
4,Credit,International Transactions,Foreign Exchange Rates Inquiry,2,3
6,Credit,Retail Loans,Loan Against Property,2,3
5,Credit,Transactions & Payments,Home Loan,1,11
5,Forex,International Transactions,Foreign Exchange Rates Inquiry,2,22
4,General Banking,Banking Tech & Digital Services,Reward Points Inquiry,1,15
10,Credit,Corporate Loans,Credit Limit Increase,2,22
3,Credit,Currency Exchange,NEFT/RTGS/IMPS Issue,1,15
2,General Banking,International Transactions,Fixed Deposit,1,14
9,Credit,Credit Cards,Cash Currency Exchange,2,11
10,Credit,KYC & Documentation,Lost/Stolen Card,2,16
8,Forex,Microfinance & Agricultural Loans,Fixed Deposit,1,86
7,Forex,Currency Exchange,NRE/NRO Account Opening,3,3
7,Credit,International Transactions,Reward Points Inquiry,1,86
6,Forex,Mortgage & Secured Loans,Cash Currency Exchange,2,27
9,General Banking,Credit Cards,Education Loan,3,86
7,Forex,Corporate Loans,Loan Against Property,2,86
9,General Banking,Trade Finance,Cash Currency Exchange,2,14
9,Forex,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,24
5,Forex,Corporate Loans,Working Capital Loan,3,10
9,Forex,Foreign Investments & NRI Banking,Debit Card Activation,3,19
10,Credit,Mortgage & Secured Loans,Lost/Stolen Card,1,21
4,Forex,Credit Cards,NRE/NRO Account Opening,2,11
9,General Banking,Retail Loans,Foreign Exchange Rates Inquiry,1,25
7,Forex,KYC & Documentation,SWIFT Transfer,3,46
10,General Banking,Retail Loans,Loan Against Property,1,16
4,General Banking,Mortgage & Secured Loans,Home Loan,2,57
3,Forex,Trade Finance,SWIFT Transfer,3,29
8,General Banking,Corporate Loans,Home Loan,3,54
8,Credit,International Transactions,Lost/Stolen Card,1,22
7,Forex,Transactions & Payments,NRE/NRO Account Opening,1,14
2,Credit,Transactions & Payments,Savings Account,1,24
6,Credit,Credit Cards,Repatriation of Funds,1,25
10,Credit,International Transactions,Reward Points Inquiry,1,58
9,Forex,Transactions & Payments,Home Loan,2,48
8,Forex,Transactions & Payments,Debit Card Activation,1,3
5,Credit,Credit Cards,Education Loan,1,15
6,Forex,Microfinance & Agricultural Loans,Education Loan,1,12
3,Credit,Transactions & Payments,Education Loan,3,21
6,General Banking,Banking Tech & Digital Services,Working Capital Loan,1,80
4,General Banking,Credit Cards,Mobile Banking Issue,3,10
8,Forex,Foreign Investments & NRI Banking,Education Loan,2,60
9,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,1,9
3,Credit,Retail Loans,Mobile Banking Issue,1,49
4,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,1,21
10,General Banking,Credit Cards,Net Banking Login Issue,1,86
10,Forex,Currency Exchange,Education Loan,1,22
4,Credit,Transactions & Payments,Fixed Deposit,3,22
10,Forex,Trade Finance,NRE/NRO Account Opening,1,69
7,Credit,Currency Exchange,Personal Loan,1,22
9,Credit,Trade Finance,Foreign Exchange Rates Inquiry,2,28
6,Forex,Retail Loans,Debit Card Activation,1,39
8,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,2,54
10,Credit,Retail Loans,Working Capital Loan,1,49
1,General Banking,Trade Finance,Net Banking Login Issue,2,66
5,Forex,International Transactions,Personal Loan,2,32
10,Credit,Trade Finance,NEFT/RTGS/IMPS Issue,1,4
5,Credit,Banking Tech & Digital Services,Car Loan,1,10
6,Forex,Trade Finance,Letter of Credit,1,8
2,Forex,Foreign Investments & NRI Banking,Car Loan,3,6
9,Forex,Accounts & Deposits,Letter of Credit,1,86
5,General Banking,Corporate Loans,Cash Currency Exchange,1,9
5,General Banking,Corporate Loans,Working Capital Loan,3,47
1,Credit,Mortgage & Secured Loans,Reward Points Inquiry,1,70
5,Forex,International Transactions,Loan Against Property,1,18
1,Credit,Mortgage & Secured Loans,Car Loan,2,30
8,Forex,Foreign Investments & NRI Banking,Working Capital Loan,2,3
6,Forex,Transactions & Payments,Education Loan,3,24
7,Forex,Microfinance & Agricultural Loans,Loan Against Property,1,81
10,Credit,Credit Cards,SWIFT Transfer,3,85
9,Credit,International Transactions,Education Loan,1,71
6,Forex,Transactions & Payments,Letter of Credit,2,23
7,Credit,KYC & Documentation,Car Loan,1,3
10,General Banking,KYC & Documentation,Debit Card Activation,1,68
8,Credit,Trade Finance,Home Loan,2,86
8,Forex,Microfinance & Agricultural Loans,Reward Points Inquiry,3,28
5,Credit,KYC & Documentation,Cash Currency Exchange,1,3
6,General Banking,Credit Cards,Education Loan,3,79
1,Forex,Retail Loans,Bank Guarantee,2,13
6,Credit,Currency Exchange,NEFT/RTGS/IMPS Issue,1,24
7,General Banking,Foreign Investments & NRI Banking,NRE/NRO Account Opening,1,78
7,Forex,Transactions & Payments,Reward Points Inquiry,1,26
3,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,3,47
2,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,2,38
8,General Banking,Currency Exchange,Education Loan,3,6
3,Credit,Microfinance & Agricultural Loans,Mobile Banking Issue,1,13
7,Credit,KYC & Documentation,NRE/NRO Account Opening,3,13
7,General Banking,Credit Cards,Working Capital Loan,3,30
9,Credit,Banking Tech & Digital Services,Mobile Banking Issue,2,3
10,General Banking,Corporate Loans,SWIFT Transfer,2,77
9,Credit,Corporate Loans,Home Loan,2,3
10,Forex,Corporate Loans,Repatriation of Funds,1,55
3,Forex,International Transactions,Loan Against Property,2,19
10,Forex,Banking Tech & Digital Services,Working Capital Loan,1,28
8,General Banking,Trade Finance,Letter of Credit,3,3
8,Forex,International Transactions,Personal Loan,1,78
5,Forex,Transactions & Payments,Letter of Credit,2,17
10,Forex,Retail Loans,Foreign Exchange Rates Inquiry,1,86
1,Forex,Retail Loans,Net Banking Login Issue,2,25
10,Credit,Credit Cards,Working Capital Loan,1,29
8,Forex,Foreign Investments & NRI Banking,NEFT/RTGS/IMPS Issue,1,3
9,Forex,Corporate Loans,Foreign Exchange Rates Inquiry,2,75
8,Forex,Banking Tech & Digital Services,Education Loan,3,86
10,Credit,Microfinance & Agricultural Loans,NRE/NRO Account Opening,2,5
10,Forex,Foreign Investments & NRI Banking,Reward Points Inquiry,3,19
4,Forex,Credit Cards,Education Loan,2,9
8,Forex,Trade Finance,Letter of Credit,2,43
6,Credit,International Transactions,Lost/Stolen Card,1,26
9,General Banking,International Transactions,SWIFT Transfer,1,32
10,Credit,Retail Loans,Loan Against Property,2,29
10,Credit,Banking Tech & Digital Services,Fixed Deposit,1,13
10,General Banking,Retail Loans,Foreign Exchange Rates Inquiry,1,86
10,Forex,Retail Loans,Letter of Credit,1,28
9,Credit,Transactions & Payments,Bank Guarantee,2,3
9,Forex,Foreign Investments & NRI Banking,Car Loan,3,58
10,Credit,Mortgage & Secured Loans,Loan Against Property,2,15
5,General Banking,Foreign Investments & NRI Banking,NEFT/RTGS/IMPS Issue,3,20
8,Credit,Corporate Loans,Reward Points Inquiry,2,41
8,Credit,Credit Cards,Mobile Banking Issue,3,18
5,Forex,Transactions & Payments,Fixed Deposit,1,86
10,Forex,Accounts & Deposits,Letter of Credit,1,3
3,Forex,Retail Loans,Personal Loan,1,17
1,Forex,Credit Cards,NRE/NRO Account Opening,1,4
10,Forex,Banking Tech & Digital Services,Working Capital Loan,1,7
1,Forex,Foreign Investments & NRI Banking,Credit Limit Increase,1,15
5,General Banking,Retail Loans,Letter of Credit,2,26
7,Credit,Accounts & Deposits,NRE/NRO Account Opening,3,14
10,Credit,Credit Cards,Debit Card Activation,1,19
1,Credit,International Transactions,Repatriation of Funds,1,3
1,Forex,Trade Finance,Home Loan,1,82
9,Credit,Trade Finance,NRE/NRO Account Opening,1,32
9,Forex,KYC & Documentation,Education Loan,3,34
4,Credit,Accounts & Deposits,Fixed Deposit,1,29
8,Credit,Trade Finance,Net Banking Login Issue,1,86
10,Credit,International Transactions,Mobile Banking Issue,2,73
4,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,3,86
8,Forex,Mortgage & Secured Loans,Cash Currency Exchange,1,3
9,Forex,International Transactions,Car Loan,3,35
7,Forex,Transactions & Payments,Cash Currency Exchange,1,76
4,Forex,International Transactions,Letter of Credit,2,50
1,General Banking,Currency Exchange,Lost/Stolen Card,3,16
9,Forex,International Transactions,Foreign Exchange Rates Inquiry,2,86
8,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,13
9,Forex,Mortgage & Secured Loans,Education Loan,3,58
1,Forex,Corporate Loans,Cash Currency Exchange,1,7
10,Forex,Mortgage & Secured Loans,Working Capital Loan,2,3
8,Forex,Retail Loans,Education Loan,2,42
9,Forex,Trade Finance,Letter of Credit,3,16
6,General Banking,KYC & Documentation,NEFT/RTGS/IMPS Issue,1,17
6,Credit,Credit Cards,Education Loan,1,26
7,Forex,KYC & Documentation,Car Loan,1,14
7,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,1,7
1,Credit,Trade Finance,Cash Currency Exchange,1,31
8,Forex,International Transactions,Repatriation of Funds,2,6
5,Credit,Microfinance & Agricultural Loans,Education Loan,2,3
5,Credit,Retail Loans,Foreign Exchange Rates Inquiry,1,55
7,Forex,Trade Finance,Education Loan,1,63
2,General Banking,Currency Exchange,Working Capital Loan,3,49
7,Credit,Credit Cards,Net Banking Login Issue,1,37
5,Forex,Foreign Investments & NRI Banking,Cash Currency Exchange,1,84
8,Forex,International Transactions,Personal Loan,1,70
1,Credit,International Transactions,Mobile Banking Issue,2,73
2,Forex,Credit Cards,Home Loan,3,3
10,Forex,Accounts & Deposits,Car Loan,1,86
1,Credit,Trade Finance,Fixed Deposit,2,86
1,General Banking,International Transactions,Education Loan,3,21
9,Forex,Retail Loans,Debit Card Activation,2,23
7,Credit,Credit Cards,Debit Card Activation,2,3
4,Forex,Mortgage & Secured Loans,Fixed Deposit,1,31
7,Credit,Accounts & Deposits,Personal Loan,2,4
10,Forex,International Transactions,NEFT/RTGS/IMPS Issue,3,86
10,Credit,Trade Finance,Foreign Exchange Rates Inquiry,2,11
1,General Banking,International Transactions,Loan Against Property,1,31
1,Credit,Corporate Loans,Reward Points Inquiry,3,20
10,Credit,Trade Finance,Net Banking Login Issue,1,86
8,General Banking,Retail Loans,Reward Points Inquiry,1,12
9,Forex,Transactions & Payments,Foreign Exchange Rates Inquiry,3,9
6,Credit,Microfinance & Agricultural Loans,Credit Limit Increase,1,11
1,Credit,Corporate Loans,Fixed Deposit,3,17
4,Credit,Trade Finance,Cash Currency Exchange,1,86
6,Credit,Microfinance & Agricultural Loans,SWIFT Transfer,3,86
9,Credit,International Transactions,Foreign Exchange Rates Inquiry,1,18
7,General Banking,Credit Cards,NRE/NRO Account Opening,2,54
1,Credit,Mortgage & Secured Loans,Letter of Credit,2,3
8,Forex,Retail Loans,Reward Points Inquiry,1,86
7,Credit,KYC & Documentation,Working Capital Loan,1,27
10,Credit,Transactions & Payments,SWIFT Transfer,3,66
3,Forex,Microfinance & Agricultural Loans,Home Loan,3,24
6,Forex,Accounts & Deposits,SWIFT Transfer,2,3
5,Forex,Currency Exchange,Home Loan,3,13
8,Forex,Trade Finance,Reward Points Inquiry,1,28
1,General Banking,Transactions & Payments,Personal Loan,3,33
3,General Banking,International Transactions,Education Loan,2,5
10,Credit,Mortgage & Secured Loans,Fixed Deposit,1,86
5,Credit,Banking Tech & Digital Services,SWIFT Transfer,3,24
8,Credit,Trade Finance,Working Capital Loan,2,16
6,Forex,Currency Exchange,Letter of Credit,3,13
5,Credit,Banking Tech & Digital Services,Cash Currency Exchange,1,66
4,Credit,Transactions & Payments,NEFT/RTGS/IMPS Issue,2,86
7,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,2,62
1,Forex,KYC & Documentation,Loan Against Property,3,3
10,Forex,Currency Exchange,Savings Account,3,86
10,Credit,Microfinance & Agricultural Loans,Working Capital Loan,2,86
9,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,1,24
9,Credit,Trade Finance,Home Loan,2,61
3,Forex,Microfinance & Agricultural Loans,Education Loan,2,16
7,General Banking,Corporate Loans,Cash Currency Exchange,1,64
10,Forex,Microfinance & Agricultural Loans,Mobile Banking Issue,1,19
9,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,80
6,Credit,Retail Loans,Education Loan,3,9
4,Forex,Retail Loans,Foreign Exchange Rates Inquiry,3,86
9,Credit,International Transactions,Debit Card Activation,2,11
9,Credit,Mortgage & Secured Loans,SWIFT Transfer,1,34
9,Forex,Retail Loans,Reward Points Inquiry,3,9
10,General Banking,Mortgage & Secured Loans,Car Loan,1,18
5,Forex,Credit Cards,Cash Currency Exchange,2,86
9,Credit,Currency Exchange,Education Loan,3,13
9,Credit,Mortgage & Secured Loans,Working Capital Loan,3,12
1,Credit,Microfinance & Agricultural Loans,Fixed Deposit,2,3
10,Credit,Accounts & Deposits,Loan Against Property,1,21
1,General Banking,Trade Finance,Working Capital Loan,2,3
9,Forex,Transactions & Payments,Education Loan,2,19
4,Forex,KYC & Documentation,Debit Card Activation,1,24
1,Forex,Trade Finance,Loan Against Property,2,48
4,Forex,Transactions & Payments,Education Loan,1,8
5,General Banking,International Transactions,Debit Card Activation,3,22
7,Forex,Microfinance & Agricultural Loans,Personal Loan,3,25
2,Credit,Credit Cards,Car Loan,1,86
7,Forex,Trade Finance,Debit Card Activation,3,13
5,Forex,Retail Loans,Debit Card Activation,1,5
5,General Banking,Retail Loans,NRE/NRO Account Opening,1,32
5,General Banking,Retail Loans,Debit Card Activation,3,26
5,Forex,Retail Loans,Letter of Credit,2,20
6,Forex,International Transactions,Working Capital Loan,3,39
9,General Banking,International Transactions,Letter of Credit,1,67
4,Credit,International Transactions,Mobile Banking Issue,1,3
1,Forex,Credit Cards,Car Loan,3,30
4,Forex,KYC & Documentation,Home Loan,2,23
4,General Banking,Corporate Loans,Personal Loan,2,67
1,Forex,Microfinance & Agricultural Loans,Letter of Credit,3,3
1,Credit,Retail Loans,Loan Against Property,2,12
7,Forex,Credit Cards,Letter of Credit,3,79
6,General Banking,Banking Tech & Digital Services,Lost/Stolen Card,1,15
9,Forex,Retail Loans,Education Loan,2,28
5,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,1,9
4,Forex,Accounts & Deposits,Reward Points Inquiry,3,3
10,General Banking,International Transactions,Personal Loan,1,27
7,General Banking,Corporate Loans,Lost/Stolen Card,2,59
10,Forex,Currency Exchange,SWIFT Transfer,1,6
10,General Banking,Accounts & Deposits,Home Loan,3,20
4,Forex,International Transactions,Education Loan,2,11
9,Credit,International Transactions,Personal Loan,1,84
10,Credit,Retail Loans,Education Loan,1,3
9,Credit,Banking Tech & Digital Services,SWIFT Transfer,1,27
5,Forex,Accounts & Deposits,Education Loan,3,16
7,Credit,KYC & Documentation,Bank Guarantee,3,60
8,Credit,Currency Exchange,Savings Account,1,27
9,Credit,Banking Tech & Digital Services,Cash Currency Exchange,1,70
7,Credit,KYC & Documentation,Reward Points Inquiry,2,47
5,Credit,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,26
8,Credit,Mortgage & Secured Loans,Working Capital Loan,1,38
8,Forex,International Transactions,Foreign Exchange Rates Inquiry,1,3
5,Credit,KYC & Documentation,Car Loan,1,19
6,Forex,International Transactions,Mobile Banking Issue,2,75
1,Credit,Retail Loans,Loan Against Property,2,31
6,Credit,Microfinance & Agricultural Loans,Working Capital Loan,1,69
1,Credit,KYC & Documentation,Letter of Credit,2,32
7,General Banking,Banking Tech & Digital Services,Home Loan,1,86
5,Forex,Corporate Loans,Working Capital Loan,2,86
10,Forex,Corporate Loans,Fixed Deposit,2,35
10,Credit,Mortgage & Secured Loans,Home Loan,3,10
7,Forex,Foreign Investments & NRI Banking,Working Capital Loan,1,86
10,Forex,Trade Finance,Cash Currency Exchange,1,8
2,Forex,Corporate Loans,Home Loan,3,48
6,Credit,Accounts & Deposits,SWIFT Transfer,1,3
6,Credit,Corporate Loans,Car Loan,1,71
10,Forex,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,1,14
9,General Banking,KYC & Documentation,Car Loan,1,25
4,Credit,Transactions & Payments,Foreign Exchange Rates Inquiry,3,86
10,Forex,Microfinance & Agricultural Loans,Car Loan,2,18
8,Credit,Corporate Loans,Letter of Credit,3,3
6,Credit,Accounts & Deposits,NRE/NRO Account Opening,3,80
6,Forex,KYC & Documentation,NEFT/RTGS/IMPS Issue,1,49
6,General Banking,Banking Tech & Digital Services,Credit Limit Increase,3,86
10,Forex,Transactions & Payments,Working Capital Loan,2,30
7,Forex,Credit Cards,Letter of Credit,1,3
1,Forex,Credit Cards,Car Loan,3,3
10,General Banking,Accounts & Deposits,Letter of Credit,2,61
8,Forex,Retail Loans,Debit Card Activation,3,33
6,Credit,Currency Exchange,NEFT/RTGS/IMPS Issue,2,17
8,Credit,Credit Cards,Mobile Banking Issue,3,86
5,Forex,Banking Tech & Digital Services,Home Loan,1,51
8,Forex,Mortgage & Secured Loans,Education Loan,2,25
10,Forex,Mortgage & Secured Loans,Cash Currency Exchange,1,86
6,Forex,Credit Cards,Foreign Exchange Rates Inquiry,1,23
10,Credit,Retail Loans,Education Loan,1,42
4,Credit,Accounts & Deposits,Loan Against Property,1,15
5,Credit,Currency Exchange,NEFT/RTGS/IMPS Issue,2,26
6,Forex,KYC & Documentation,Mobile Banking Issue,2,23
6,Forex,Microfinance & Agricultural Loans,Debit Card Activation,1,55
10,General Banking,Microfinance & Agricultural Loans,Education Loan,1,77
10,Forex,Credit Cards,Mobile Banking Issue,2,30
7,Credit,International Transactions,SWIFT Transfer,1,5
8,Forex,Currency Exchange,Working Capital Loan,2,22
6,Forex,Credit Cards,Personal Loan,1,20
10,Forex,Accounts & Deposits,Mobile Banking Issue,3,3
8,Credit,Retail Loans,Education Loan,2,72
6,Forex,International Transactions,Mobile Banking Issue,3,22
10,Forex,Accounts & Deposits,Working Capital Loan,2,25
8,Forex,Retail Loans,Debit Card Activation,3,86
8,Credit,Microfinance & Agricultural Loans,Fixed Deposit,1,86
5,General Banking,Mortgage & Secured Loans,Loan Against Property,1,16
9,Forex,Currency Exchange,Foreign Exchange Rates Inquiry,1,3
6,General Banking,Currency Exchange,Personal Loan,3,21
6,Credit,Trade Finance,Reward Points Inquiry,3,3
1,Forex,Transactions & Payments,Education Loan,1,42
7,Forex,International Transactions,Repatriation of Funds,2,86
6,Credit,Currency Exchange,Working Capital Loan,1,3
3,Credit,Retail Loans,Letter of Credit,2,15
4,Forex,Foreign Investments & NRI Banking,Education Loan,1,11
7,General Banking,International Transactions,Cash Currency Exchange,2,23
2,Credit,Foreign Investments & NRI Banking,Car Loan,2,4
6,Credit,Trade Finance,Mobile Banking Issue,1,14
9,Credit,Credit Cards,Home Loan,1,9
5,Forex,Corporate Loans,Net Banking Login Issue,1,5
7,General Banking,Credit Cards,Home Loan,2,86
4,Forex,Trade Finance,Foreign Exchange Rates Inquiry,1,26
10,General Banking,Mortgage & Secured Loans,Bank Guarantee,1,37
7,General Banking,Trade Finance,Foreign Exchange Rates Inquiry,3,10
8,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,86
6,Forex,Currency Exchange,Working Capital Loan,3,68
1,Forex,Microfinance & Agricultural Loans,Debit Card Activation,3,13
3,Credit,Retail Loans,Foreign Exchange Rates Inquiry,2,23
9,Credit,KYC & Documentation,Fixed Deposit,1,22
8,Forex,Retail Loans,SWIFT Transfer,2,56
6,Forex,Transactions & Payments,Repatriation of Funds,2,86
5,General Banking,Trade Finance,Letter of Credit,1,24
6,Forex,Trade Finance,Fixed Deposit,1,3
10,General Banking,Trade Finance,Letter of Credit,1,13
7,Credit,Retail Loans,Lost/Stolen Card,2,53
6,General Banking,International Transactions,Education Loan,1,58
10,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,1,14
5,Forex,Transactions & Payments,Education Loan,3,73
10,Forex,International Transactions,Working Capital Loan,1,57
5,General Banking,Credit Cards,NEFT/RTGS/IMPS Issue,1,3
5,Credit,Microfinance & Agricultural Loans,Net Banking Login Issue,1,21
5,Credit,Trade Finance,Lost/Stolen Card,1,30
5,Credit,Foreign Investments & NRI Banking,Debit Card Activation,3,23
4,Credit,Trade Finance,Working Capital Loan,2,22
7,Credit,International Transactions,Loan Against Property,1,18
9,Credit,Accounts & Deposits,Working Capital Loan,1,14
8,General Banking,Transactions & Payments,Fixed Deposit,3,80
8,Credit,Trade Finance,Loan Against Property,1,25
6,Forex,Retail Loans,Fixed Deposit,1,25
7,General Banking,Banking Tech & Digital Services,Savings Account,2,27
7,Credit,Accounts & Deposits,SWIFT Transfer,3,31
10,Credit,KYC & Documentation,Car Loan,2,43
3,Forex,Credit Cards,Fixed Deposit,3,28
10,General Banking,International Transactions,Net Banking Login Issue,1,55
4,Forex,Trade Finance,Education Loan,1,73
9,General Banking,Currency Exchange,Education Loan,1,8
6,General Banking,Transactions & Payments,Home Loan,2,20
1,Forex,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,2,29
6,General Banking,Retail Loans,Letter of Credit,1,74
4,Forex,Retail Loans,Foreign Exchange Rates Inquiry,2,80
1,Forex,Microfinance & Agricultural Loans,Fixed Deposit,2,81
1,Forex,Transactions & Payments,Letter of Credit,1,9
8,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,1,16
5,Credit,Banking Tech & Digital Services,Mobile Banking Issue,2,4
8,Forex,Foreign Investments & NRI Banking,Mobile Banking Issue,2,85
6,General Banking,Credit Cards,Debit Card Activation,1,26
1,Credit,Banking Tech & Digital Services,Cash Currency Exchange,2,12
8,Credit,Retail Loans,Home Loan,3,27
7,General Banking,International Transactions,Mobile Banking Issue,1,29
1,Credit,Corporate Loans,Reward Points Inquiry,1,3
6,Credit,Corporate Loans,NEFT/RTGS/IMPS Issue,1,86
4,Forex,Credit Cards,Letter of Credit,1,3
5,Credit,Transactions & Payments,SWIFT Transfer,2,61
5,Credit,Corporate Loans,Debit Card Activation,2,3
7,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,3,18
1,Credit,Foreign Investments & NRI Banking,NRE/NRO Account Opening,2,67
6,Forex,KYC & Documentation,Lost/Stolen Card,1,14
5,Forex,Retail Loans,Mobile Banking Issue,2,17
3,General Banking,International Transactions,Cash Currency Exchange,1,6
4,Forex,Trade Finance,SWIFT Transfer,3,79
6,Forex,Credit Cards,Education Loan,1,86
10,Credit,Currency Exchange,Education Loan,2,10
10,General Banking,Corporate Loans,Fixed Deposit,2,40
10,General Banking,International Transactions,Repatriation of Funds,2,79
1,Credit,Banking Tech & Digital Services,Repatriation of Funds,2,3
5,Forex,Retail Loans,SWIFT Transfer,2,69
4,Credit,Retail Loans,Letter of Credit,1,18
5,Credit,Transactions & Payments,NRE/NRO Account Opening,2,67
1,General Banking,Transactions & Payments,Lost/Stolen Card,1,77
7,Credit,KYC & Documentation,Debit Card Activation,2,21
8,General Banking,KYC & Documentation,Foreign Exchange Rates Inquiry,1,38
8,Forex,Currency Exchange,SWIFT Transfer,3,9
1,Forex,Trade Finance,Foreign Exchange Rates Inquiry,2,86
6,Forex,Transactions & Payments,Loan Against Property,1,27
5,Credit,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,2,86
7,Forex,Credit Cards,NRE/NRO Account Opening,1,51
1,Forex,Currency Exchange,Letter of Credit,1,29
5,General Banking,KYC & Documentation,Reward Points Inquiry,3,32
9,General Banking,Retail Loans,Debit Card Activation,1,3
9,Credit,Trade Finance,Fixed Deposit,1,4
6,Forex,Banking Tech & Digital Services,Reward Points Inquiry,2,3
8,Credit,Retail Loans,Cash Currency Exchange,1,19
9,Forex,Credit Cards,Education Loan,2,14
5,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,1,3
8,Credit,Transactions & Payments,Working Capital Loan,2,63
2,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,1,21
2,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,43
10,Forex,Accounts & Deposits,Fixed Deposit,1,61
4,Credit,Currency Exchange,Net Banking Login Issue,1,86
2,Forex,Credit Cards,Home Loan,1,12
7,Forex,Foreign Investments & NRI Banking,Personal Loan,2,3
3,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,1,38
4,Forex,Trade Finance,Lost/Stolen Card,3,62
10,Credit,Accounts & Deposits,Education Loan,2,60
10,Credit,Trade Finance,SWIFT Transfer,3,42
1,Forex,Currency Exchange,Home Loan,3,13
7,General Banking,Microfinance & Agricultural Loans,Home Loan,3,18
10,Credit,International Transactions,Fixed Deposit,1,29
3,Forex,KYC & Documentation,Education Loan,3,47
1,Credit,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,1,72
4,Credit,Foreign Investments & NRI Banking,Fixed Deposit,2,4
3,Forex,Retail Loans,Cash Currency Exchange,2,3
1,Forex,Accounts & Deposits,Car Loan,2,27
6,Forex,Credit Cards,Debit Card Activation,2,23
3,General Banking,Transactions & Payments,Education Loan,2,3
9,Credit,International Transactions,Car Loan,2,15
7,General Banking,International Transactions,Car Loan,1,23
5,Forex,KYC & Documentation,Net Banking Login Issue,1,57
8,Credit,Accounts & Deposits,Home Loan,1,86
9,Credit,Trade Finance,SWIFT Transfer,1,18
4,Credit,International Transactions,Foreign Exchange Rates Inquiry,1,15
8,General Banking,Transactions & Payments,Reward Points Inquiry,2,15
6,Forex,International Transactions,Education Loan,1,3
10,Forex,Currency Exchange,Working Capital Loan,1,22
10,Credit,Transactions & Payments,Loan Against Property,2,79
5,Credit,Transactions & Payments,Foreign Exchange Rates Inquiry,1,86
7,General Banking,Currency Exchange,Home Loan,1,28
4,Forex,Trade Finance,Credit Limit Increase,2,39
10,Forex,Trade Finance,SWIFT Transfer,1,13
6,Forex,Foreign Investments & NRI Banking,Letter of Credit,1,7
6,Credit,Trade Finance,NEFT/RTGS/IMPS Issue,1,17
8,Credit,KYC & Documentation,Letter of Credit,1,37
9,Credit,KYC & Documentation,Lost/Stolen Card,1,55
9,Credit,Corporate Loans,Foreign Exchange Rates Inquiry,3,78
1,Credit,Credit Cards,Car Loan,2,20
7,Forex,Banking Tech & Digital Services,Letter of Credit,1,31
2,Credit,Credit Cards,Credit Limit Increase,1,23
3,General Banking,International Transactions,Fixed Deposit,3,68
10,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,2,76
10,Credit,Foreign Investments & NRI Banking,Foreign Exchange Rates Inquiry,3,86
6,General Banking,Currency Exchange,Home Loan,3,29
7,Forex,Microfinance & Agricultural Loans,Debit Card Activation,1,3
9,Credit,Credit Cards,Education Loan,1,25
7,Forex,International Transactions,Foreign Exchange Rates Inquiry,1,18
5,Forex,KYC & Documentation,Letter of Credit,3,3
10,Forex,Corporate Loans,SWIFT Transfer,2,31
4,General Banking,Currency Exchange,NRE/NRO Account Opening,3,23
1,Forex,Corporate Loans,NEFT/RTGS/IMPS Issue,1,58
8,Forex,Currency Exchange,SWIFT Transfer,3,7
