Priority Score,Department,Sub-Department,Service Request,Service Request Level,Resolution Time (Minutes)
10,General Banking,Cards & Banking Services,NRE/NRO Account Opening,3,3.0
7,Forex,Foreign Investments & NRI Banking,Net Banking Login Issue,2,3.0
6,General Banking,Cards & Banking Services,Personal Loan,2,113.7
6,General Banking,Foreign Investments & NRI Banking,Repatriation of Funds,1,13.1
6,Forex,Credit Cards,Loan Against Property,1,8.8
6,Credit,Cards & Banking Services,SWIFT Transfer,1,21.8
10,Forex,Banking Tech & Digital Services,Home Loan,1,8.1
6,General Banking,Trade Finance,Recurring Deposit,1,25.9
10,General Banking,Foreign Investments & NRI Banking,Education Loan,1,3.0
5,Credit,International Transactions,Mobile Banking Issue,3,3.0
10,Forex,Accounts & Deposits,Recurring Deposit,2,3.0
1,General Banking,Transactions & Payments,SWIFT Transfer,1,22.5
10,Credit,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,2,3.0
7,Forex,Credit Cards,Debit Card Activation,2,7.6
10,General Banking,Trade Finance,NRE/NRO Account Opening,1,3.0
10,Forex,International Transactions,Savings Account,2,64.4
9,Credit,International Transactions,Cash Currency Exchange,3,3.0
10,Forex,Transactions & Payments,Working Capital Loan,1,48.2
9,Credit,Banking Tech & Digital Services,Savings Account,2,4.7
10,Credit,KYC & Documentation,Letter of Credit,1,3.0
8,General Banking,Mortgage & Secured Loans,Mobile Banking Issue,3,3.0
9,General Banking,Transactions & Payments,Reward Points Inquiry,1,14.3
2,General Banking,Accounts & Deposits,Car Loan,2,3.0
10,Forex,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,3.0
10,Forex,Retail Loans,Cash Currency Exchange,3,62.6
10,Credit,Microfinance & Agricultural Loans,Foreign Exchange Rates Inquiry,2,3.0
8,Forex,Foreign Investments & NRI Banking,Lost/Stolen Card,2,5.8
10,Forex,Transactions & Payments,Home Loan,2,92.6
4,Credit,Credit Cards,Reward Points Inquiry,3,35.2
3,General Banking,Transactions & Payments,Fixed Deposit,1,103.0
10,Forex,KYC & Documentation,Working Capital Loan,3,7.6
10,Credit,Corporate Loans,Car Loan,1,25.9
1,General Banking,Cards & Banking Services,Current Account,1,46.5
4,Credit,Mortgage & Secured Loans,Home Loan,2,12.4
10,Forex,Cards & Banking Services,Fixed Deposit,1,3.0
10,Forex,Microfinance & Agricultural Loans,Debit Card Activation,3,14.2
5,General Banking,Banking Tech & Digital Services,Cash Currency Exchange,1,11.0
8,Forex,International Transactions,Bank Guarantee,1,3.0
10,General Banking,Trade Finance,Recurring Deposit,3,6.9
7,Credit,Microfinance & Agricultural Loans,Bank Guarantee,1,26.2
7,Credit,Microfinance & Agricultural Loans,Reward Points Inquiry,2,3.0
5,Credit,Trade Finance,Working Capital Loan,1,3.0
7,Forex,Corporate Loans,Education Loan,1,3.0
7,Credit,Microfinance & Agricultural Loans,Savings Account,3,82.4
10,Credit,Credit Cards,Letter of Credit,1,59.7
10,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,74.1
10,Credit,KYC & Documentation,Working Capital Loan,3,27.0
8,General Banking,Microfinance & Agricultural Loans,Debit Card Activation,1,59.1
10,General Banking,Foreign Investments & NRI Banking,Recurring Deposit,3,41.1
8,General Banking,Cards & Banking Services,Net Banking Login Issue,3,11.6
6,General Banking,Retail Loans,Loan Against Property,2,57.1
7,Credit,KYC & Documentation,Cash Currency Exchange,3,16.6
7,Credit,Mortgage & Secured Loans,SWIFT Transfer,3,5.1
4,Credit,Currency Exchange,Foreign Exchange Rates Inquiry,1,4.5
10,Credit,International Transactions,Letter of Credit,3,3.0
6,Forex,Currency Exchange,Car Loan,1,32.0
6,General Banking,Corporate Loans,Repatriation of Funds,1,43.5
10,Forex,Trade Finance,Cash Currency Exchange,1,19.8
6,Forex,Banking Tech & Digital Services,Net Banking Login Issue,2,25.2
1,Credit,Foreign Investments & NRI Banking,Education Loan,2,3.0
4,Credit,Foreign Investments & NRI Banking,Car Loan,3,45.8
8,Forex,Credit Cards,Foreign Exchange Rates Inquiry,1,21.0
3,Forex,International Transactions,SWIFT Transfer,2,33.0
6,Forex,Accounts & Deposits,Working Capital Loan,3,3.0
10,Forex,Retail Loans,Mobile Banking Issue,1,3.0
8,General Banking,Mortgage & Secured Loans,Debit Card Activation,1,3.0
6,Credit,Transactions & Payments,Home Loan,1,3.0
7,Credit,KYC & Documentation,Loan Against Property,3,3.0
7,Forex,Accounts & Deposits,Personal Loan,3,4.5
10,Credit,Microfinance & Agricultural Loans,Education Loan,2,3.0
7,General Banking,International Transactions,Lost/Stolen Card,2,20.8
7,Credit,Microfinance & Agricultural Loans,Fixed Deposit,3,40.1
5,Forex,KYC & Documentation,Cash Currency Exchange,2,3.0
2,Credit,Trade Finance,Net Banking Login Issue,1,3.0
9,Forex,Cards & Banking Services,Loan Against Property,2,64.6
9,General Banking,Mortgage & Secured Loans,Bank Guarantee,3,3.0
10,Forex,Cards & Banking Services,Working Capital Loan,3,10.2
7,Credit,Transactions & Payments,Repatriation of Funds,2,3.0
5,Credit,Foreign Investments & NRI Banking,Loan Against Property,2,3.0
8,Credit,Accounts & Deposits,Recurring Deposit,3,22.3
10,General Banking,Trade Finance,Working Capital Loan,2,3.0
8,Credit,Currency Exchange,NRE/NRO Account Opening,3,3.0
4,Forex,Banking Tech & Digital Services,Repatriation of Funds,2,17.0
10,General Banking,KYC & Documentation,Debit Card Activation,2,27.5
10,Credit,Microfinance & Agricultural Loans,Education Loan,2,6.3
4,General Banking,Trade Finance,Savings Account,3,40.7
7,Credit,Foreign Investments & NRI Banking,Letter of Credit,2,14.1
8,Credit,Banking Tech & Digital Services,Foreign Exchange Rates Inquiry,3,3.0
7,Forex,Banking Tech & Digital Services,Reward Points Inquiry,2,47.1
10,Credit,Credit Cards,Personal Loan,1,3.0
9,Credit,Microfinance & Agricultural Loans,Cash Currency Exchange,3,13.5
2,General Banking,Retail Loans,Letter of Credit,2,38.8
5,General Banking,Banking Tech & Digital Services,Education Loan,1,3.0
10,Forex,Retail Loans,Lost/Stolen Card,2,4.2
10,Forex,Corporate Loans,Foreign Exchange Rates Inquiry,2,62.4
9,Forex,KYC & Documentation,NRE/NRO Account Opening,3,7.9
10,Credit,Cards & Banking Services,Foreign Exchange Rates Inquiry,1,81.7
4,Forex,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,3.0
2,Credit,Transactions & Payments,Cash Currency Exchange,3,3.0
10,General Banking,Banking Tech & Digital Services,Car Loan,1,12.1
2,General Banking,Cards & Banking Services,Letter of Credit,3,59.3
10,Credit,Retail Loans,NEFT/RTGS/IMPS Issue,3,7.5
10,Forex,International Transactions,Repatriation of Funds,2,3.0
9,Forex,Trade Finance,Lost/Stolen Card,3,3.0
10,Forex,Microfinance & Agricultural Loans,Repatriation of Funds,1,56.1
9,Forex,Currency Exchange,Savings Account,2,3.0
10,Credit,Banking Tech & Digital Services,Loan Against Property,2,3.0
10,Credit,Retail Loans,Working Capital Loan,3,3.0
10,Credit,Foreign Investments & NRI Banking,Net Banking Login Issue,3,3.0
8,General Banking,Trade Finance,Repatriation of Funds,1,3.0
10,General Banking,Microfinance & Agricultural Loans,Cash Currency Exchange,3,3.0
10,Credit,Accounts & Deposits,Loan Against Property,1,3.0
10,Forex,KYC & Documentation,Foreign Exchange Rates Inquiry,1,3.0
2,Forex,Banking Tech & Digital Services,Recurring Deposit,2,3.0
10,Forex,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,1,4.1
8,General Banking,Currency Exchange,Education Loan,1,3.0
10,Credit,Foreign Investments & NRI Banking,Car Loan,3,3.0
10,Forex,Mortgage & Secured Loans,NRE/NRO Account Opening,2,10.5
4,Forex,Currency Exchange,Fixed Deposit,3,74.1
10,General Banking,Corporate Loans,NRE/NRO Account Opening,3,3.0
10,Credit,Mortgage & Secured Loans,Lost/Stolen Card,3,3.0
7,General Banking,Credit Cards,Net Banking Login Issue,3,9.2
10,General Banking,Trade Finance,Lost/Stolen Card,3,49.5
5,Credit,Trade Finance,Personal Loan,1,25.2
10,Credit,Cards & Banking Services,Loan Against Property,1,19.2
6,General Banking,Microfinance & Agricultural Loans,Fixed Deposit,3,8.5
8,Credit,Banking Tech & Digital Services,Personal Loan,3,57.9
8,General Banking,Transactions & Payments,NRE/NRO Account Opening,2,67.8
10,Credit,Credit Cards,Foreign Exchange Rates Inquiry,3,3.0
10,General Banking,Mortgage & Secured Loans,Mobile Banking Issue,1,94.3
6,General Banking,Mortgage & Secured Loans,Education Loan,2,3.0
10,Forex,Accounts & Deposits,Lost/Stolen Card,2,3.0
6,General Banking,Mortgage & Secured Loans,Fixed Deposit,2,67.0
6,Credit,Accounts & Deposits,Personal Loan,1,3.0
7,Credit,Corporate Loans,Credit Limit Increase,1,30.1
10,General Banking,International Transactions,Letter of Credit,1,85.5
9,General Banking,Currency Exchange,Current Account,1,56.9
9,General Banking,International Transactions,Car Loan,1,3.0
6,Forex,Retail Loans,Letter of Credit,1,18.8
6,Forex,Mortgage & Secured Loans,Current Account,1,28.1
8,Credit,Foreign Investments & NRI Banking,Working Capital Loan,2,3.0
10,Credit,Accounts & Deposits,Credit Limit Increase,2,101.0
8,Credit,KYC & Documentation,Recurring Deposit,1,11.6
10,General Banking,Mortgage & Secured Loans,Education Loan,1,58.1
5,General Banking,KYC & Documentation,NEFT/RTGS/IMPS Issue,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Debit Card Activation,1,26.5
6,General Banking,Microfinance & Agricultural Loans,Cash Currency Exchange,3,9.4
2,Forex,Foreign Investments & NRI Banking,Savings Account,1,3.0
10,General Banking,Trade Finance,Reward Points Inquiry,2,32.8
10,Forex,Cards & Banking Services,Car Loan,3,44.3
9,Forex,Retail Loans,Bank Guarantee,2,3.0
10,Forex,International Transactions,Repatriation of Funds,1,3.0
10,General Banking,Retail Loans,Recurring Deposit,3,11.9
8,Forex,Corporate Loans,Education Loan,1,3.0
10,Forex,Foreign Investments & NRI Banking,Car Loan,1,67.6
10,Credit,Cards & Banking Services,Foreign Exchange Rates Inquiry,1,18.5
6,Credit,Banking Tech & Digital Services,Recurring Deposit,2,12.8
9,General Banking,Retail Loans,Bank Guarantee,3,3.0
6,General Banking,Banking Tech & Digital Services,Credit Limit Increase,1,40.1
9,General Banking,Retail Loans,Mobile Banking Issue,3,4.4
10,Forex,Trade Finance,Cash Currency Exchange,3,3.0
8,General Banking,Currency Exchange,Mobile Banking Issue,1,30.0
10,General Banking,Cards & Banking Services,Education Loan,2,39.7
6,Credit,Foreign Investments & NRI Banking,Reward Points Inquiry,3,3.0
10,Credit,Mortgage & Secured Loans,Personal Loan,3,10.0
10,Forex,Corporate Loans,NRE/NRO Account Opening,3,14.3
4,General Banking,KYC & Documentation,Savings Account,2,3.0
10,Credit,Foreign Investments & NRI Banking,Cash Currency Exchange,1,60.8
10,Credit,Mortgage & Secured Loans,Car Loan,3,3.0
9,General Banking,Cards & Banking Services,Foreign Exchange Rates Inquiry,2,81.8
2,General Banking,Banking Tech & Digital Services,Debit Card Activation,2,23.5
6,General Banking,Trade Finance,Working Capital Loan,2,20.5
7,Credit,Foreign Investments & NRI Banking,Credit Limit Increase,1,10.3
10,Credit,Banking Tech & Digital Services,Repatriation of Funds,2,19.8
2,Credit,Trade Finance,Recurring Deposit,1,20.5
8,General Banking,Banking Tech & Digital Services,NRE/NRO Account Opening,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Recurring Deposit,3,78.7
9,Credit,Foreign Investments & NRI Banking,Lost/Stolen Card,3,3.0
6,Forex,Accounts & Deposits,Loan Against Property,2,3.0
10,General Banking,Foreign Investments & NRI Banking,Lost/Stolen Card,3,46.3
7,Credit,Trade Finance,Fixed Deposit,2,27.9
8,Forex,Mortgage & Secured Loans,Cash Currency Exchange,2,11.4
3,Forex,Trade Finance,Bank Guarantee,1,31.6
10,General Banking,Credit Cards,Home Loan,3,89.9
9,General Banking,Corporate Loans,Savings Account,2,3.0
10,Credit,Corporate Loans,Bank Guarantee,2,8.2
10,General Banking,Accounts & Deposits,Working Capital Loan,1,3.0
7,General Banking,Mortgage & Secured Loans,Current Account,1,31.6
4,Credit,Foreign Investments & NRI Banking,Loan Against Property,3,3.0
10,General Banking,Corporate Loans,Savings Account,3,4.3
6,General Banking,International Transactions,Repatriation of Funds,1,44.9
4,General Banking,International Transactions,NRE/NRO Account Opening,1,3.0
10,Forex,International Transactions,NRE/NRO Account Opening,2,40.1
6,Credit,KYC & Documentation,Education Loan,1,3.0
10,Credit,Cards & Banking Services,Letter of Credit,3,3.0
2,Credit,Accounts & Deposits,Car Loan,3,19.7
9,Credit,Corporate Loans,Net Banking Login Issue,1,3.0
4,Forex,Cards & Banking Services,Cash Currency Exchange,3,3.0
10,Forex,International Transactions,Letter of Credit,1,6.2
9,Credit,Foreign Investments & NRI Banking,Personal Loan,1,73.0
6,General Banking,Transactions & Payments,Cash Currency Exchange,1,43.5
10,Credit,Banking Tech & Digital Services,Lost/Stolen Card,3,31.6
10,Credit,International Transactions,Car Loan,2,3.0
6,Credit,Accounts & Deposits,Education Loan,1,5.1
10,Forex,Accounts & Deposits,Savings Account,3,17.1
9,Credit,International Transactions,Loan Against Property,2,26.6
10,General Banking,International Transactions,Credit Limit Increase,3,39.3
10,General Banking,Mortgage & Secured Loans,Education Loan,3,3.0
9,General Banking,Banking Tech & Digital Services,NRE/NRO Account Opening,1,89.3
10,General Banking,Cards & Banking Services,Personal Loan,2,3.0
10,General Banking,Credit Cards,Credit Limit Increase,2,3.0
10,Forex,Accounts & Deposits,Home Loan,2,34.6
10,Forex,Microfinance & Agricultural Loans,Current Account,2,61.4
10,Credit,Currency Exchange,Recurring Deposit,3,3.0
10,Credit,Corporate Loans,Working Capital Loan,2,17.4
10,Credit,Credit Cards,Working Capital Loan,3,3.0
10,Forex,Microfinance & Agricultural Loans,Car Loan,3,3.0
10,General Banking,Accounts & Deposits,NRE/NRO Account Opening,3,3.0
10,Forex,Corporate Loans,Savings Account,1,94.0
4,Forex,Transactions & Payments,Working Capital Loan,1,17.6
8,Forex,Accounts & Deposits,SWIFT Transfer,1,59.3
2,Credit,Accounts & Deposits,Lost/Stolen Card,2,3.0
6,General Banking,Retail Loans,Fixed Deposit,1,23.3
7,Credit,Retail Loans,Repatriation of Funds,3,3.0
10,Forex,Corporate Loans,Letter of Credit,3,37.3
10,General Banking,Mortgage & Secured Loans,Net Banking Login Issue,3,3.0
6,Forex,Cards & Banking Services,Letter of Credit,2,19.7
6,Forex,Currency Exchange,Fixed Deposit,3,19.0
6,Credit,Credit Cards,Savings Account,1,4.4
9,General Banking,Currency Exchange,Net Banking Login Issue,1,40.1
5,Forex,Trade Finance,Home Loan,1,3.9
5,Forex,Transactions & Payments,Cash Currency Exchange,2,10.6
10,General Banking,Foreign Investments & NRI Banking,Working Capital Loan,3,3.0
1,General Banking,Credit Cards,Loan Against Property,2,3.0
10,Forex,Banking Tech & Digital Services,Car Loan,2,3.0
10,General Banking,Credit Cards,Personal Loan,2,53.1
10,Credit,Microfinance & Agricultural Loans,Current Account,1,25.4
6,Forex,Retail Loans,Savings Account,1,70.2
9,General Banking,International Transactions,Credit Limit Increase,1,45.2
8,Credit,Microfinance & Agricultural Loans,Lost/Stolen Card,2,4.7
10,General Banking,KYC & Documentation,Cash Currency Exchange,2,36.0
8,Credit,Microfinance & Agricultural Loans,Savings Account,3,46.9
10,Forex,Trade Finance,Mobile Banking Issue,1,70.1
9,General Banking,Foreign Investments & NRI Banking,Home Loan,1,3.0
10,Forex,Corporate Loans,Repatriation of Funds,1,59.7
4,Credit,Cards & Banking Services,Lost/Stolen Card,2,26.4
10,General Banking,Retail Loans,Credit Limit Increase,2,57.9
10,Credit,Trade Finance,Lost/Stolen Card,1,3.0
10,General Banking,Mortgage & Secured Loans,Debit Card Activation,3,14.2
7,General Banking,Banking Tech & Digital Services,Credit Limit Increase,1,3.0
4,General Banking,International Transactions,Cash Currency Exchange,3,3.0
10,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,3,8.4
9,Credit,Banking Tech & Digital Services,Personal Loan,3,5.1
2,General Banking,Corporate Loans,SWIFT Transfer,3,3.0
1,General Banking,Accounts & Deposits,Lost/Stolen Card,2,3.0
8,Credit,Mortgage & Secured Loans,Home Loan,3,20.4
9,General Banking,Corporate Loans,Car Loan,3,3.0
10,General Banking,Microfinance & Agricultural Loans,Recurring Deposit,2,3.0
5,General Banking,Mortgage & Secured Loans,Credit Limit Increase,2,7.6
3,Forex,Retail Loans,Foreign Exchange Rates Inquiry,3,3.0
10,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,2,21.9
10,Forex,Corporate Loans,Loan Against Property,2,30.0
8,Credit,Cards & Banking Services,Home Loan,3,26.2
10,Forex,Retail Loans,Bank Guarantee,2,43.8
5,Credit,Microfinance & Agricultural Loans,Personal Loan,1,35.4
6,Credit,Retail Loans,Bank Guarantee,2,3.0
5,Forex,KYC & Documentation,Mobile Banking Issue,3,47.8
8,Forex,Microfinance & Agricultural Loans,Loan Against Property,3,3.0
10,Forex,Transactions & Payments,Credit Limit Increase,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Reward Points Inquiry,3,3.0
10,Credit,Corporate Loans,Mobile Banking Issue,2,3.0
8,General Banking,Accounts & Deposits,Letter of Credit,1,11.1
2,General Banking,Accounts & Deposits,NEFT/RTGS/IMPS Issue,2,39.3
3,Credit,Currency Exchange,Repatriation of Funds,3,3.0
2,Forex,Foreign Investments & NRI Banking,Car Loan,3,3.0
10,General Banking,Microfinance & Agricultural Loans,Education Loan,2,3.0
1,General Banking,KYC & Documentation,NEFT/RTGS/IMPS Issue,1,42.7
9,General Banking,Microfinance & Agricultural Loans,Car Loan,1,22.2
10,General Banking,International Transactions,Mobile Banking Issue,2,52.9
10,General Banking,Mortgage & Secured Loans,Home Loan,1,37.3
10,General Banking,Corporate Loans,Recurring Deposit,2,3.0
8,Credit,Cards & Banking Services,Personal Loan,2,5.1
10,General Banking,Cards & Banking Services,Loan Against Property,3,25.3
10,Forex,Banking Tech & Digital Services,Education Loan,3,112.5
4,Forex,International Transactions,Car Loan,3,22.2
10,General Banking,Cards & Banking Services,Mobile Banking Issue,1,3.0
10,Forex,Retail Loans,Recurring Deposit,1,3.0
9,Forex,Mortgage & Secured Loans,Car Loan,2,3.0
10,General Banking,Microfinance & Agricultural Loans,Personal Loan,1,97.6
10,Credit,Banking Tech & Digital Services,Current Account,2,3.0
10,General Banking,Banking Tech & Digital Services,Repatriation of Funds,1,21.9
3,Forex,Transactions & Payments,Home Loan,3,39.4
6,Credit,Trade Finance,Home Loan,2,20.4
7,Forex,Credit Cards,Reward Points Inquiry,2,3.0
9,Forex,Credit Cards,Loan Against Property,1,38.7
2,General Banking,Credit Cards,Recurring Deposit,3,3.0
7,General Banking,Retail Loans,NEFT/RTGS/IMPS Issue,1,29.9
8,General Banking,Mortgage & Secured Loans,Net Banking Login Issue,2,29.0
6,Credit,Corporate Loans,Savings Account,3,6.6
10,Forex,Corporate Loans,Loan Against Property,3,3.0
10,General Banking,Foreign Investments & NRI Banking,Savings Account,1,49.9
5,Credit,KYC & Documentation,Debit Card Activation,2,25.7
7,Credit,Mortgage & Secured Loans,Recurring Deposit,1,31.0
10,General Banking,Mortgage & Secured Loans,Car Loan,3,42.0
7,Forex,Microfinance & Agricultural Loans,Bank Guarantee,3,3.0
10,Forex,Currency Exchange,Education Loan,2,98.6
10,Forex,Currency Exchange,Cash Currency Exchange,2,13.4
6,Credit,Currency Exchange,Loan Against Property,1,6.3
10,General Banking,Mortgage & Secured Loans,Loan Against Property,3,3.0
8,Forex,Corporate Loans,Recurring Deposit,1,3.0
10,Forex,Currency Exchange,Debit Card Activation,1,3.0
4,General Banking,Foreign Investments & NRI Banking,Credit Limit Increase,1,3.0
3,Credit,Cards & Banking Services,Net Banking Login Issue,2,32.8
10,Credit,Corporate Loans,SWIFT Transfer,2,3.0
10,General Banking,Retail Loans,Foreign Exchange Rates Inquiry,1,41.0
9,Forex,Mortgage & Secured Loans,Personal Loan,1,21.2
10,Credit,Foreign Investments & NRI Banking,Current Account,2,3.0
10,Credit,Cards & Banking Services,Repatriation of Funds,1,5.2
5,Forex,Banking Tech & Digital Services,Fixed Deposit,2,24.0
10,Credit,KYC & Documentation,Home Loan,2,38.0
9,General Banking,KYC & Documentation,Education Loan,3,3.0
10,General Banking,Retail Loans,Car Loan,3,3.0
10,Credit,Currency Exchange,Cash Currency Exchange,2,40.3
8,Credit,Trade Finance,Debit Card Activation,2,28.4
4,Credit,Banking Tech & Digital Services,Current Account,2,4.1
4,General Banking,Retail Loans,Car Loan,2,3.0
7,Credit,Credit Cards,Current Account,1,16.0
10,Credit,Accounts & Deposits,Bank Guarantee,1,62.0
10,General Banking,Foreign Investments & NRI Banking,Repatriation of Funds,2,155.6
9,Credit,Microfinance & Agricultural Loans,Working Capital Loan,3,11.3
10,Forex,Foreign Investments & NRI Banking,Current Account,2,39.5
8,Credit,Cards & Banking Services,Net Banking Login Issue,3,40.9
10,Credit,Transactions & Payments,Repatriation of Funds,1,36.6
6,Credit,Banking Tech & Digital Services,Cash Currency Exchange,2,3.0
7,Forex,International Transactions,Repatriation of Funds,2,6.0
9,Forex,Microfinance & Agricultural Loans,Bank Guarantee,2,15.1
10,General Banking,KYC & Documentation,Savings Account,1,13.7
5,Credit,Trade Finance,Current Account,1,46.6
6,Forex,International Transactions,Debit Card Activation,3,44.4
3,Credit,Retail Loans,NRE/NRO Account Opening,2,51.7
8,Forex,Mortgage & Secured Loans,Debit Card Activation,1,72.1
5,General Banking,Corporate Loans,Working Capital Loan,3,31.6
10,Credit,Retail Loans,Debit Card Activation,1,3.0
10,Credit,Cards & Banking Services,Education Loan,1,31.6
10,Credit,Foreign Investments & NRI Banking,Cash Currency Exchange,3,3.0
7,Forex,Accounts & Deposits,Car Loan,3,3.0
10,General Banking,KYC & Documentation,Credit Limit Increase,1,21.3
6,Credit,Banking Tech & Digital Services,SWIFT Transfer,3,61.3
4,Forex,Banking Tech & Digital Services,SWIFT Transfer,2,13.4
5,Forex,Corporate Loans,Recurring Deposit,2,3.0
8,General Banking,Foreign Investments & NRI Banking,Loan Against Property,1,22.5
5,Forex,KYC & Documentation,Loan Against Property,2,12.4
10,Credit,Mortgage & Secured Loans,Net Banking Login Issue,1,35.0
2,Credit,Mortgage & Secured Loans,Foreign Exchange Rates Inquiry,2,3.0
10,Forex,Currency Exchange,Fixed Deposit,3,3.0
7,Forex,Trade Finance,Letter of Credit,2,17.1
10,Forex,Foreign Investments & NRI Banking,Current Account,1,7.9
5,General Banking,Retail Loans,Home Loan,1,3.0
9,General Banking,Corporate Loans,Home Loan,2,3.0
9,Forex,Foreign Investments & NRI Banking,Repatriation of Funds,3,12.3
1,General Banking,Microfinance & Agricultural Loans,SWIFT Transfer,1,85.2
5,Forex,Microfinance & Agricultural Loans,Personal Loan,3,4.8
10,General Banking,Banking Tech & Digital Services,Working Capital Loan,2,12.1
4,General Banking,Microfinance & Agricultural Loans,Education Loan,1,22.2
9,Forex,Transactions & Payments,Working Capital Loan,2,3.0
8,Credit,Accounts & Deposits,Savings Account,2,34.7
8,Credit,Banking Tech & Digital Services,Working Capital Loan,2,3.0
10,Credit,Trade Finance,Education Loan,3,8.9
7,General Banking,Currency Exchange,Car Loan,2,27.3
7,Forex,International Transactions,Education Loan,3,37.2
10,Forex,Microfinance & Agricultural Loans,Cash Currency Exchange,3,3.0
8,Credit,Transactions & Payments,Letter of Credit,3,3.0
6,Credit,Transactions & Payments,Loan Against Property,1,9.5
7,General Banking,Microfinance & Agricultural Loans,Working Capital Loan,2,3.0
1,Credit,Mortgage & Secured Loans,NEFT/RTGS/IMPS Issue,3,3.0
2,Credit,Mortgage & Secured Loans,Working Capital Loan,2,3.0
9,Credit,Retail Loans,NRE/NRO Account Opening,2,3.0
4,Forex,International Transactions,Debit Card Activation,3,3.0
1,General Banking,Mortgage & Secured Loans,Cash Currency Exchange,1,10.4
10,Forex,Foreign Investments & NRI Banking,Net Banking Login Issue,2,3.0
9,Credit,Banking Tech & Digital Services,NRE/NRO Account Opening,1,3.0
4,Forex,International Transactions,Personal Loan,1,3.0
3,Forex,Retail Loans,Personal Loan,2,3.0
10,Forex,Banking Tech & Digital Services,Savings Account,3,3.0
10,Forex,Credit Cards,Debit Card Activation,1,7.1
10,General Banking,Corporate Loans,Foreign Exchange Rates Inquiry,2,25.2
6,Forex,Banking Tech & Digital Services,Home Loan,2,3.0
5,Forex,International Transactions,Fixed Deposit,1,29.8
7,General Banking,International Transactions,Car Loan,2,3.0
7,Forex,Microfinance & Agricultural Loans,SWIFT Transfer,2,6.0
5,General Banking,International Transactions,Recurring Deposit,2,8.8
2,General Banking,Accounts & Deposits,Repatriation of Funds,1,3.0
9,General Banking,Mortgage & Secured Loans,Reward Points Inquiry,3,3.0
6,General Banking,KYC & Documentation,Car Loan,3,3.0
5,General Banking,KYC & Documentation,Car Loan,1,3.0
10,Credit,Currency Exchange,Letter of Credit,2,17.8
8,Credit,Microfinance & Agricultural Loans,Letter of Credit,2,3.0
8,General Banking,Foreign Investments & NRI Banking,Loan Against Property,1,24.2
10,Credit,KYC & Documentation,Cash Currency Exchange,3,3.0
9,Credit,Retail Loans,Loan Against Property,2,36.4
2,Forex,Credit Cards,Repatriation of Funds,2,3.0
10,Forex,Credit Cards,Personal Loan,1,3.0
10,General Banking,Trade Finance,Personal Loan,2,20.0
6,Forex,KYC & Documentation,Working Capital Loan,2,3.0
10,Credit,Microfinance & Agricultural Loans,Lost/Stolen Card,3,19.2
10,Forex,Trade Finance,Loan Against Property,3,17.9
7,Credit,Credit Cards,Working Capital Loan,1,13.5
5,Forex,International Transactions,Cash Currency Exchange,3,22.0
10,Forex,Mortgage & Secured Loans,Fixed Deposit,1,3.0
10,General Banking,Foreign Investments & NRI Banking,Fixed Deposit,1,12.2
10,Forex,Trade Finance,Education Loan,2,3.0
10,Forex,Credit Cards,Working Capital Loan,3,27.7
10,Credit,Cards & Banking Services,Lost/Stolen Card,1,3.0
3,General Banking,Microfinance & Agricultural Loans,Mobile Banking Issue,1,13.8
10,General Banking,Banking Tech & Digital Services,NEFT/RTGS/IMPS Issue,3,3.0
9,General Banking,International Transactions,Fixed Deposit,3,23.6
4,General Banking,Corporate Loans,Home Loan,3,3.0
1,Forex,KYC & Documentation,Personal Loan,1,3.4
8,General Banking,Corporate Loans,Car Loan,2,83.6
4,Forex,Transactions & Payments,NRE/NRO Account Opening,3,3.0
10,Forex,Corporate Loans,NRE/NRO Account Opening,3,47.6
8,General Banking,Accounts & Deposits,Cash Currency Exchange,2,48.0
10,General Banking,Accounts & Deposits,Reward Points Inquiry,1,29.8
10,General Banking,Mortgage & Secured Loans,Car Loan,3,3.0
4,Credit,Currency Exchange,Loan Against Property,2,21.3
9,Credit,Credit Cards,Personal Loan,2,26.4
10,General Banking,KYC & Documentation,Savings Account,2,16.8
6,Forex,KYC & Documentation,Recurring Deposit,1,3.0
10,General Banking,Transactions & Payments,Foreign Exchange Rates Inquiry,3,3.0
7,Forex,KYC & Documentation,Loan Against Property,1,58.9
5,Credit,Mortgage & Secured Loans,Current Account,2,5.2
10,Credit,Banking Tech & Digital Services,Repatriation of Funds,3,3.0
10,General Banking,Cards & Banking Services,Lost/Stolen Card,3,15.2
7,Credit,Corporate Loans,Lost/Stolen Card,2,3.0
8,Credit,Microfinance & Agricultural Loans,Recurring Deposit,1,6.9
10,Forex,International Transactions,Education Loan,2,155.1
10,Credit,Banking Tech & Digital Services,Letter of Credit,1,3.0
4,General Banking,Corporate Loans,NEFT/RTGS/IMPS Issue,1,3.0
8,General Banking,Microfinance & Agricultural Loans,Home Loan,3,3.0
